Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
-0.45,0.89,-1.23,0.34,-0.76,0.98,-0.12,0.21,-0.56,1.34,-0.89,0.67,-1.11,0.91,-0.47,0.45,-0.56,1.23,-0.34
0.12,-0.89,1.45,-0.56,0.67,-1.23,0.98,-0.34,0.56,-1.11,0.76,-0.12,1.23,-0.91,0.45,-0.67,0.89,-1.34,0.21
1.23,-0.34,0.56,-0.76,0.89,-1.23,0.45,-0.12,0.91,-0.56,0.98,-1.11,0.67,-0.21,1.34,-0.89,0.76,-0.67,0.12
-0.98,0.76,-1.34,0.45,-0.12,0.89,-0.67,1.23,-0.56,0.91,-1.11,0.34,-0.76,1.45,-0.21,0.67,-0.45,0.89,-0.34
0.45,-0.56,0.89,-1.23,0.76,-0.12,1.23,-0.34,0.67,-0.98,1.11,-0.21,0.91,-0.76,0.56,-1.34,0.45,-0.89,0.12
-0.76,0.98,-0.34,1.23,-0.12,0.91,-1.11,0.67,-0.45,0.56,-0.21,1.34,-0.89,0.76,-0.67,0.45,-1.23,0.89,-0.56
0.12,-0.89,1.45,-0.56,0.67,-1.23,0.98,-0.34,0.56,-1.11,0.76,-0.12,1.23,-0.91,0.45,-0.67,0.89,-1.34,0.21
1.23,-0.34,0.56,-0.76,0.89,-1.23,0.45,-0.12,0.91,-0.56,0.98,-1.11,0.67,-0.21,1.34,-0.89,0.76,-0.67,0.12
-0.98,0.76,-1.34,0.45,-0.12,0.89,-0.67,1.23,-0.56,0.91,-1.11,0.34,-0.76,1.45,-0.21,0.67,-0.45,0.89,-0.34
0.45,-0.56,0.89,-1.23,0.76,-0.12,1.23,-0.34,0.67,-0.98,1.11,-0.21,0.91,-0.76,0.56,-1.34,0.45,-0.89,0.12
